area_name,year,quarter,time_period,rent_growth,population_growth,housing_completions,rent_level,ppi_dublin_all,ppi_nat_ex_dublin_all,ppi_national_all,mortgage_loan_book_n,arrears_90d_n,arrears_720d_n,arrears_90d_rate,arrears_720d_rate
Longford,2018,3,2018Q3,10.90515851,1.431980907,613.7955814,579.66,29.058333333333334,28.40833333333333,29.708333333333332,253.0,78.0,46.0,0.308300395256917,0.18181818181818182
Longford,2018,4,2018Q4,10.55614397,1.431980907,613.7955814,579.66,27.983333333333334,27.691666666666666,28.808333333333334,257.0,79.0,46.0,0.30739299610894943,0.17898832684824903
Longford,2019,1,2019Q1,8.24165047,1.176470588,613.7955814,624.4,26.150000000000002,26.8,27.441666666666666,257.0,77.0,47.0,0.29961089494163423,0.1828793774319066
Longford,2019,2,2019Q2,8.089543301,1.176470588,613.7955814,624.4,26.208333333333332,27.041666666666668,27.599999999999998,257.0,77.0,48.0,0.29961089494163423,0.1867704280155642
Longford,2019,3,2019Q3,7.066732812,1.176470588,613.7955814,624.4,26.808333333333334,27.325,28.041666666666668,251.0,71.0,45.0,0.28286852589641437,0.17928286852589642
Longford,2019,4,2019Q4,5.879189216,1.176470588,613.7955814,624.4,25.741666666666664,26.525000000000002,27.150000000000002,254.0,68.0,40.0,0.2677165354330709,0.15748031496062992
Longford,2020,1,2020Q1,7.385137473,0.23255814,613.7955814,658.14,26.28333333333333,25.658333333333335,26.933333333333334,252.0,68.0,40.0,0.2698412698412698,0.15873015873015872
Longford,2020,2,2020Q2,6.273423497,0.23255814,613.7955814,658.14,25.900000000000002,25.90833333333333,26.891666666666666,250.0,72.0,40.0,0.288,0.16
Longford,2020,3,2020Q3,4.630280565,0.23255814,613.7955814,658.14,25.558333333333334,26.09166666666667,26.833333333333332,249.0,69.0,40.0,0.27710843373493976,0.1606425702811245
Longford,2020,4,2020Q4,4.990793066,0.23255814,613.7955814,658.14,26.675,27.133333333333336,27.925,248.0,66.0,40.0,0.2661290322580645,0.16129032258064516
Longford,2021,1,2021Q1,3.224618783,1.392111369,243.4258751,702.07,27.575,28.183333333333334,28.933333333333334,247.0,59.0,35.0,0.2388663967611336,0.1417004048582996
Longford,2021,2,2021Q2,4.383624655,1.392111369,280.3366311,702.07,29.625,29.5,30.608333333333334,246.0,57.0,36.0,0.23170731707317074,0.14634146341463414
Longford,2021,3,2021Q3,6.44717955,1.392111369,262.1897777,702.07,32.733333333333334,33.30833333333333,34.166666666666664,248.0,52.0,33.0,0.20967741935483872,0.13306451612903225
Longford,2021,4,2021Q4,7.153008769,1.392111369,354.5227632,702.07,33.833333333333336,35.36666666666667,35.84166666666667,246.0,53.0,34.0,0.21544715447154472,0.13821138211382114
Longford,2022,1,2022Q1,9.203721317,1.830663616,347.7632706,783.24,33.975,36.175000000000004,36.4,246.0,47.0,28.0,0.1910569105691057,0.11382113821138211
Longford,2022,2,2022Q2,8.457821061,1.830663616,428.1198937,783.24,34.050000000000004,36.458333333333336,36.6,248.0,46.0,29.0,0.18548387096774194,0.11693548387096774
Longford,2022,3,2022Q3,10.42921903,1.830663616,417.0691051,783.24,34.958333333333336,36.75833333333333,37.225,249.0,69.0,40.0,0.27710843373493976,0.1606425702811245
Longford,2022,4,2022Q4,12.20668539,1.830663616,464.834316,783.24,33.59166666666667,35.983333333333334,36.199999999999996,252.0,44.0,28.0,0.1746031746031746,0.1111111111111111
Longford,2023,1,2023Q1,9.392904288,1.348314607,416.5922944,865.12,31.183333333333334,34.75833333333333,34.43333333333333,249.0,43.0,28.0,0.17269076305220885,0.11244979919678715
Longford,2023,2,2023Q2,11.7488522,1.348314607,407.1963193,865.12,30.141666666666666,34.55833333333334,33.858333333333334,247.0,40.0,25.0,0.16194331983805668,0.10121457489878542
Longford,2023,3,2023Q3,11.71633454,1.348314607,472.7718114,865.12,31.133333333333336,35.199999999999996,34.666666666666664,248.0,40.0,27.0,0.16129032258064516,0.10887096774193548
Longford,2023,4,2023Q4,12.14380926,1.348314607,520.9577376,865.12,33.375,36.725,36.55833333333333,245.0,40.0,25.0,0.16326530612244897,0.10204081632653061
Longford,2024,1,2024Q1,15.15618974,2.2172949,366.80765,1010.72,35.225,37.55833333333333,37.85,245.0,40.0,25.0,,
Longford,2024,2,2024Q2,17.46897421,2.2172949,380.8034458,1010.72,35.875,38.53333333333333,38.708333333333336,245.0,40.0,25.0,,
Longford,2024,3,2024Q3,18.1669128,2.2172949,498.4915403,1010.72,38.06666666666667,40.075,40.55,245.0,40.0,25.0,,
