"Statistic Label","Year","Sex","NACE Rev 2 Economic Sector","UNIT","VALUE"
"Employments in Top 1% of Earnings - Median Annual Earnings","2024","Male","All NACE economic sectors","Euro","320303"
"Employments in Top 1% of Earnings - Median Annual Earnings","2024","Male","Construction (F)","Euro","342313"
"Employments in Top 1% of Earnings - Median Annual Earnings","2024","Male","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","323345"
"Employments in Top 1% of Earnings - Median Annual Earnings","2024","Male","Transportation and storage (H)","Euro","298415"
"Employments in Top 1% of Earnings - Median Annual Earnings","2024","Male","Accommodation and food service activities (I)","Euro","301657"
"Employments in Top 1% of Earnings - Median Annual Earnings","2024","Male","Information and communication (J)","Euro","323995"
"Employments in Top 1% of Earnings - Median Annual Earnings","2024","Male","Professional, scientific and technical activities (M)","Euro","338841"
"Employments in Top 1% of Earnings - Median Annual Earnings","2024","Male","Administrative and support service activities (N)","Euro","338795"
"Employments in Top 1% of Earnings - Median Annual Earnings","2024","Male","Public administration and defence; compulsory social security (O)","Euro","267495"
"Employments in Top 1% of Earnings - Median Annual Earnings","2024","Male","Education (P)","Euro","309280"
"Employments in Top 1% of Earnings - Median Annual Earnings","2024","Male","Human health and social work activities (Q)","Euro","291047"
"Employments in Top 1% of Earnings - Median Annual Earnings","2024","Male","Industry (B to E)","Euro","322966"
"Employments in Top 1% of Earnings - Median Annual Earnings","2024","Male","Financial, insurance and real estate activities (K,L)","Euro","341653"
"Employments in Top 1% of Earnings - Median Annual Earnings","2024","Male","Arts, entertainment, recreation and other service activities (R,S)","Euro","355981"
"Employments in Top 1% of Earnings - Median Annual Earnings","2024","Female","All NACE economic sectors","Euro","309233"
"Employments in Top 1% of Earnings - Median Annual Earnings","2024","Female","Construction (F)","Euro",""
"Employments in Top 1% of Earnings - Median Annual Earnings","2024","Female","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","323441"
"Employments in Top 1% of Earnings - Median Annual Earnings","2024","Female","Transportation and storage (H)","Euro","319168"
"Employments in Top 1% of Earnings - Median Annual Earnings","2024","Female","Accommodation and food service activities (I)","Euro",""
"Employments in Top 1% of Earnings - Median Annual Earnings","2024","Female","Information and communication (J)","Euro","321626"
"Employments in Top 1% of Earnings - Median Annual Earnings","2024","Female","Professional, scientific and technical activities (M)","Euro","322098"
"Employments in Top 1% of Earnings - Median Annual Earnings","2024","Female","Administrative and support service activities (N)","Euro","339908"
"Employments in Top 1% of Earnings - Median Annual Earnings","2024","Female","Public administration and defence; compulsory social security (O)","Euro","267495"
"Employments in Top 1% of Earnings - Median Annual Earnings","2024","Female","Education (P)","Euro","311067"
