"Statistic Label","Year","Age Group","Sex","County","UNIT","VALUE"
"Estimated Population (Persons in April)","2017","10 - 14 years","Female","Co. Donegal","Thousand","5.9"
"Estimated Population (Persons in April)","2017","10 - 14 years","Female","Co. Dublin","Thousand","38.7"
"Estimated Population (Persons in April)","2017","10 - 14 years","Female","Co. Galway","Thousand","8.5"
"Estimated Population (Persons in April)","2017","10 - 14 years","Female","Co. Kildare","Thousand","8.5"
"Estimated Population (Persons in April)","2017","10 - 14 years","Female","Co. Kilkenny","Thousand","3.4"
"Estimated Population (Persons in April)","2017","10 - 14 years","Female","Co. Kerry","Thousand","4.7"
"Estimated Population (Persons in April)","2017","10 - 14 years","Female","Co. Longford","Thousand","1.5"
"Estimated Population (Persons in April)","2017","10 - 14 years","Female","Co. Louth","Thousand","4.8"
"Estimated Population (Persons in April)","2017","10 - 14 years","Female","Co. Limerick","Thousand","6.2"
"Estimated Population (Persons in April)","2017","10 - 14 years","Female","Co. Leitrim","Thousand","1.2"
"Estimated Population (Persons in April)","2017","10 - 14 years","Female","Co. Laois","Thousand","3.3"
"Estimated Population (Persons in April)","2017","10 - 14 years","Female","Co. Meath","Thousand","7.7"
"Estimated Population (Persons in April)","2017","10 - 14 years","Female","Co. Monaghan","Thousand","2.2"
"Estimated Population (Persons in April)","2017","10 - 14 years","Female","Co. Mayo","Thousand","4.4"
"Estimated Population (Persons in April)","2017","10 - 14 years","Female","Co. Offaly","Thousand","2.8"
"Estimated Population (Persons in April)","2017","10 - 14 years","Female","Co. Roscommon","Thousand","2.2"
"Estimated Population (Persons in April)","2017","10 - 14 years","Female","Co. Sligo","Thousand","2.2"
"Estimated Population (Persons in April)","2017","10 - 14 years","Female","Co. Tipperary","Thousand","5.6"
"Estimated Population (Persons in April)","2017","10 - 14 years","Female","Co. Waterford","Thousand","4.1"
"Estimated Population (Persons in April)","2017","10 - 14 years","Female","Co. Wicklow","Thousand","5.2"
"Estimated Population (Persons in April)","2017","10 - 14 years","Female","Co. Westmeath","Thousand","3"
"Estimated Population (Persons in April)","2017","10 - 14 years","Female","Co. Wexford","Thousand","5.4"
"Estimated Population (Persons in April)","2017","15 - 19 years","Both sexes","Ireland","Thousand","309.6"
"Estimated Population (Persons in April)","2017","15 - 19 years","Both sexes","Co. Clare","Thousand","8.4"
"Estimated Population (Persons in April)","2017","15 - 19 years","Both sexes","Co. Cork","Thousand","34.8"
"Estimated Population (Persons in April)","2017","15 - 19 years","Both sexes","Co. Cavan","Thousand","5.4"
"Estimated Population (Persons in April)","2017","15 - 19 years","Both sexes","Co. Carlow","Thousand","3.8"
"Estimated Population (Persons in April)","2017","15 - 19 years","Both sexes","Co. Donegal","Thousand","11.7"
"Estimated Population (Persons in April)","2017","15 - 19 years","Both sexes","Co. Dublin","Thousand","78.3"
"Estimated Population (Persons in April)","2017","15 - 19 years","Both sexes","Co. Galway","Thousand","16.1"
"Estimated Population (Persons in April)","2017","15 - 19 years","Both sexes","Co. Kildare","Thousand","15.8"
"Estimated Population (Persons in April)","2017","15 - 19 years","Both sexes","Co. Kilkenny","Thousand","6.7"
"Estimated Population (Persons in April)","2017","15 - 19 years","Both sexes","Co. Kerry","Thousand","9.7"
"Estimated Population (Persons in April)","2017","15 - 19 years","Both sexes","Co. Longford","Thousand","2.8"
"Estimated Population (Persons in April)","2017","15 - 19 years","Both sexes","Co. Louth","Thousand","9.1"
"Estimated Population (Persons in April)","2017","15 - 19 years","Both sexes","Co. Limerick","Thousand","12.6"
"Estimated Population (Persons in April)","2017","15 - 19 years","Both sexes","Co. Leitrim","Thousand","2.1"
"Estimated Population (Persons in April)","2017","15 - 19 years","Both sexes","Co. Laois","Thousand","5.9"
