"Statistic Label","Month","Type of Residential Property","UNIT","VALUE"
"Percentage Change over 3 months for Residential Property Price Index","2025 September","South-East - houses","%","4.9"
"Percentage Change over 3 months for Residential Property Price Index","2025 September","South-West - houses","%","2.7"
"Percentage Change over 3 months for Residential Property Price Index","2025 October","National - all residential properties","%","2.3"
"Percentage Change over 3 months for Residential Property Price Index","2025 October","National - houses","%","2.2"
"Percentage Change over 3 months for Residential Property Price Index","2025 October","National - apartments","%","3"
"Percentage Change over 3 months for Residential Property Price Index","2025 October","Dublin - all residential properties","%","2.2"
"Percentage Change over 3 months for Residential Property Price Index","2025 October","Dublin - houses","%","2"
"Percentage Change over 3 months for Residential Property Price Index","2025 October","Dublin - apartments","%","2.9"
"Percentage Change over 3 months for Residential Property Price Index","2025 October","Dublin City - houses","%","2.1"
"Percentage Change over 3 months for Residential Property Price Index","2025 October","Dun Laoghaire-Rathdown - houses","%","2.2"
"Percentage Change over 3 months for Residential Property Price Index","2025 October","Fingal - houses","%","1.3"
"Percentage Change over 3 months for Residential Property Price Index","2025 October","South Dublin - houses","%","2.7"
"Percentage Change over 3 months for Residential Property Price Index","2025 October","National excluding Dublin - all residential properties","%","2.4"
"Percentage Change over 3 months for Residential Property Price Index","2025 October","National excluding Dublin - houses","%","2.3"
"Percentage Change over 3 months for Residential Property Price Index","2025 October","National excluding Dublin - apartments","%","3.1"
"Percentage Change over 3 months for Residential Property Price Index","2025 October","Border - houses","%","3.4"
"Percentage Change over 3 months for Residential Property Price Index","2025 October","Midland - houses","%","5.9"
"Percentage Change over 3 months for Residential Property Price Index","2025 October","West - houses","%","2.4"
"Percentage Change over 3 months for Residential Property Price Index","2025 October","Mid-East - houses","%","0.8"
"Percentage Change over 3 months for Residential Property Price Index","2025 October","Mid-West - houses","%","1"
"Percentage Change over 3 months for Residential Property Price Index","2025 October","South-East - houses","%","2.8"
"Percentage Change over 3 months for Residential Property Price Index","2025 October","South-West - houses","%","3.3"
"Percentage Change over 3 months for Residential Property Price Index","2025 November","National - all residential properties","%","1.9"
"Percentage Change over 3 months for Residential Property Price Index","2025 November","National - houses","%","1.8"
"Percentage Change over 3 months for Residential Property Price Index","2025 November","National - apartments","%","2.5"
"Percentage Change over 3 months for Residential Property Price Index","2025 November","Dublin - all residential properties","%","2"
"Percentage Change over 3 months for Residential Property Price Index","2025 November","Dublin - houses","%","1.8"
"Percentage Change over 3 months for Residential Property Price Index","2025 November","Dublin - apartments","%","2.5"
"Percentage Change over 3 months for Residential Property Price Index","2025 November","Dublin City - houses","%","1.1"
"Percentage Change over 3 months for Residential Property Price Index","2025 November","Dun Laoghaire-Rathdown - houses","%","1.9"
"Percentage Change over 3 months for Residential Property Price Index","2025 November","Fingal - houses","%","2.5"
"Percentage Change over 3 months for Residential Property Price Index","2025 November","South Dublin - houses","%","2.1"
"Percentage Change over 3 months for Residential Property Price Index","2025 November","National excluding Dublin - all residential properties","%","1.8"
"Percentage Change over 3 months for Residential Property Price Index","2025 November","National excluding Dublin - houses","%","1.7"
"Percentage Change over 3 months for Residential Property Price Index","2025 November","National excluding Dublin - apartments","%","2.5"
"Percentage Change over 3 months for Residential Property Price Index","2025 November","Border - houses","%","1.8"
"Percentage Change over 3 months for Residential Property Price Index","2025 November","Midland - houses","%","4"
"Percentage Change over 3 months for Residential Property Price Index","2025 November","West - houses","%","3.1"
"Percentage Change over 3 months for Residential Property Price Index","2025 November","Mid-East - houses","%","0.2"
"Percentage Change over 3 months for Residential Property Price Index","2025 November","Mid-West - houses","%","0.3"
"Percentage Change over 3 months for Residential Property Price Index","2025 November","South-East - houses","%","2"
"Percentage Change over 3 months for Residential Property Price Index","2025 November","South-West - houses","%","2.9"
"Percentage Change over 3 months for Residential Property Price Index","2025 December","National - all residential properties","%","1.7"
"Percentage Change over 3 months for Residential Property Price Index","2025 December","National - houses","%","1.5"
"Percentage Change over 3 months for Residential Property Price Index","2025 December","National - apartments","%","3"
"Percentage Change over 3 months for Residential Property Price Index","2025 December","Dublin - all residential properties","%","1.6"
"Percentage Change over 3 months for Residential Property Price Index","2025 December","Dublin - houses","%","1.3"
"Percentage Change over 3 months for Residential Property Price Index","2025 December","Dublin - apartments","%","2.9"
"Percentage Change over 3 months for Residential Property Price Index","2025 December","Dublin City - houses","%","1.7"
"Percentage Change over 3 months for Residential Property Price Index","2025 December","Dun Laoghaire-Rathdown - houses","%","0.7"
"Percentage Change over 3 months for Residential Property Price Index","2025 December","Fingal - houses","%","0.9"
"Percentage Change over 3 months for Residential Property Price Index","2025 December","South Dublin - houses","%","1.9"
"Percentage Change over 3 months for Residential Property Price Index","2025 December","National excluding Dublin - all residential properties","%","1.7"
"Percentage Change over 3 months for Residential Property Price Index","2025 December","National excluding Dublin - houses","%","1.6"
"Percentage Change over 3 months for Residential Property Price Index","2025 December","National excluding Dublin - apartments","%","3.2"
"Percentage Change over 3 months for Residential Property Price Index","2025 December","Border - houses","%","4"
"Percentage Change over 3 months for Residential Property Price Index","2025 December","Midland - houses","%","4.1"
"Percentage Change over 3 months for Residential Property Price Index","2025 December","West - houses","%","2.6"
"Percentage Change over 3 months for Residential Property Price Index","2025 December","Mid-East - houses","%","0.3"
"Percentage Change over 3 months for Residential Property Price Index","2025 December","Mid-West - houses","%","-0.1"
"Percentage Change over 3 months for Residential Property Price Index","2025 December","South-East - houses","%","1.2"
"Percentage Change over 3 months for Residential Property Price Index","2025 December","South-West - houses","%","2.4"
"Percentage Change over 3 months for Residential Property Price Index","2026 January","National - all residential properties","%","1.4"
"Percentage Change over 3 months for Residential Property Price Index","2026 January","National - houses","%","1.2"
"Percentage Change over 3 months for Residential Property Price Index","2026 January","National - apartments","%","2.2"
"Percentage Change over 3 months for Residential Property Price Index","2026 January","Dublin - all residential properties","%","1.6"
"Percentage Change over 3 months for Residential Property Price Index","2026 January","Dublin - houses","%","1.4"
"Percentage Change over 3 months for Residential Property Price Index","2026 January","Dublin - apartments","%","2.2"
"Percentage Change over 3 months for Residential Property Price Index","2026 January","Dublin City - houses","%","2.3"
"Percentage Change over 3 months for Residential Property Price Index","2026 January","Dun Laoghaire-Rathdown - houses","%","1.3"
"Percentage Change over 3 months for Residential Property Price Index","2026 January","Fingal - houses","%","0.8"
"Percentage Change over 3 months for Residential Property Price Index","2026 January","South Dublin - houses","%","0.6"
"Percentage Change over 3 months for Residential Property Price Index","2026 January","National excluding Dublin - all residential properties","%","1.2"
"Percentage Change over 3 months for Residential Property Price Index","2026 January","National excluding Dublin - houses","%","1.1"
"Percentage Change over 3 months for Residential Property Price Index","2026 January","National excluding Dublin - apartments","%","2.4"
"Percentage Change over 3 months for Residential Property Price Index","2026 January","Border - houses","%","4"
"Percentage Change over 3 months for Residential Property Price Index","2026 January","Midland - houses","%","4"
"Percentage Change over 3 months for Residential Property Price Index","2026 January","West - houses","%","2"
"Percentage Change over 3 months for Residential Property Price Index","2026 January","Mid-East - houses","%","0.4"
"Percentage Change over 3 months for Residential Property Price Index","2026 January","Mid-West - houses","%","0"
"Percentage Change over 3 months for Residential Property Price Index","2026 January","South-East - houses","%","0.9"
"Percentage Change over 3 months for Residential Property Price Index","2026 January","South-West - houses","%","0.5"
"Percentage Change over 12 months for Residential Property Price Index","2016 January","National - all residential properties","%","7.7"
"Percentage Change over 12 months for Residential Property Price Index","2016 January","National - houses","%","8.2"
"Percentage Change over 12 months for Residential Property Price Index","2016 January","National - apartments","%","2.7"
"Percentage Change over 12 months for Residential Property Price Index","2016 January","Dublin - all residential properties","%","4.8"
"Percentage Change over 12 months for Residential Property Price Index","2016 January","Dublin - houses","%","5.4"
"Percentage Change over 12 months for Residential Property Price Index","2016 January","Dublin - apartments","%","1.3"
"Percentage Change over 12 months for Residential Property Price Index","2016 January","Dublin City - houses","%","0.8"
"Percentage Change over 12 months for Residential Property Price Index","2016 January","Dun Laoghaire-Rathdown - houses","%","4"
"Percentage Change over 12 months for Residential Property Price Index","2016 January","Fingal - houses","%","5.8"
"Percentage Change over 12 months for Residential Property Price Index","2016 January","South Dublin - houses","%","-2.4"
"Percentage Change over 12 months for Residential Property Price Index","2016 January","National excluding Dublin - all residential properties","%","10.9"
"Percentage Change over 12 months for Residential Property Price Index","2016 January","National excluding Dublin - houses","%","10.8"
"Percentage Change over 12 months for Residential Property Price Index","2016 January","National excluding Dublin - apartments","%","11.6"
"Percentage Change over 12 months for Residential Property Price Index","2016 January","Border - houses","%","14.4"
"Percentage Change over 12 months for Residential Property Price Index","2016 January","Midland - houses","%","16.8"
"Percentage Change over 12 months for Residential Property Price Index","2016 January","West - houses","%","8.3"
"Percentage Change over 12 months for Residential Property Price Index","2016 January","Mid-East - houses","%","7.8"
"Percentage Change over 12 months for Residential Property Price Index","2016 January","Mid-West - houses","%","10.5"
"Percentage Change over 12 months for Residential Property Price Index","2016 January","South-East - houses","%","10.9"
"Percentage Change over 12 months for Residential Property Price Index","2016 January","South-West - houses","%","14.8"
"Percentage Change over 12 months for Residential Property Price Index","2016 February","National - all residential properties","%","7.4"
"Percentage Change over 12 months for Residential Property Price Index","2016 February","National - houses","%","7.5"
"Percentage Change over 12 months for Residential Property Price Index","2016 February","National - apartments","%","3.5"
"Percentage Change over 12 months for Residential Property Price Index","2016 February","Dublin - all residential properties","%","4.6"
"Percentage Change over 12 months for Residential Property Price Index","2016 February","Dublin - houses","%","4.6"
"Percentage Change over 12 months for Residential Property Price Index","2016 February","Dublin - apartments","%","3"
"Percentage Change over 12 months for Residential Property Price Index","2016 February","Dublin City - houses","%","0.1"
"Percentage Change over 12 months for Residential Property Price Index","2016 February","Dun Laoghaire-Rathdown - houses","%","5.3"
"Percentage Change over 12 months for Residential Property Price Index","2016 February","Fingal - houses","%","5.1"
"Percentage Change over 12 months for Residential Property Price Index","2016 February","South Dublin - houses","%","-3"
"Percentage Change over 12 months for Residential Property Price Index","2016 February","National excluding Dublin - all residential properties","%","10.5"
"Percentage Change over 12 months for Residential Property Price Index","2016 February","National excluding Dublin - houses","%","10.3"
"Percentage Change over 12 months for Residential Property Price Index","2016 February","National excluding Dublin - apartments","%","12.6"
"Percentage Change over 12 months for Residential Property Price Index","2016 February","Border - houses","%","10.8"
"Percentage Change over 12 months for Residential Property Price Index","2016 February","Midland - houses","%","15.1"
"Percentage Change over 12 months for Residential Property Price Index","2016 February","West - houses","%","10.9"
"Percentage Change over 12 months for Residential Property Price Index","2016 February","Mid-East - houses","%","7.4"
"Percentage Change over 12 months for Residential Property Price Index","2016 February","Mid-West - houses","%","11.6"
"Percentage Change over 12 months for Residential Property Price Index","2016 February","South-East - houses","%","10.1"
"Percentage Change over 12 months for Residential Property Price Index","2016 February","South-West - houses","%","12.7"
"Percentage Change over 12 months for Residential Property Price Index","2016 March","National - all residential properties","%","7.4"
"Percentage Change over 12 months for Residential Property Price Index","2016 March","National - houses","%","7.1"
"Percentage Change over 12 months for Residential Property Price Index","2016 March","National - apartments","%","5.3"
"Percentage Change over 12 months for Residential Property Price Index","2016 March","Dublin - all residential properties","%","4.9"
"Percentage Change over 12 months for Residential Property Price Index","2016 March","Dublin - houses","%","4"
"Percentage Change over 12 months for Residential Property Price Index","2016 March","Dublin - apartments","%","6.7"
"Percentage Change over 12 months for Residential Property Price Index","2016 March","Dublin City - houses","%","0.5"
"Percentage Change over 12 months for Residential Property Price Index","2016 March","Dun Laoghaire-Rathdown - houses","%","4.5"
"Percentage Change over 12 months for Residential Property Price Index","2016 March","Fingal - houses","%","6.1"
"Percentage Change over 12 months for Residential Property Price Index","2016 March","South Dublin - houses","%","-3.2"
"Percentage Change over 12 months for Residential Property Price Index","2016 March","National excluding Dublin - all residential properties","%","10.1"
"Percentage Change over 12 months for Residential Property Price Index","2016 March","National excluding Dublin - houses","%","10.1"
"Percentage Change over 12 months for Residential Property Price Index","2016 March","National excluding Dublin - apartments","%","10.6"
"Percentage Change over 12 months for Residential Property Price Index","2016 March","Border - houses","%","10.2"
"Percentage Change over 12 months for Residential Property Price Index","2016 March","Midland - houses","%","14.1"
"Percentage Change over 12 months for Residential Property Price Index","2016 March","West - houses","%","8.9"
"Percentage Change over 12 months for Residential Property Price Index","2016 March","Mid-East - houses","%","7"
"Percentage Change over 12 months for Residential Property Price Index","2016 March","Mid-West - houses","%","9.4"
"Percentage Change over 12 months for Residential Property Price Index","2016 March","South-East - houses","%","11.6"
"Percentage Change over 12 months for Residential Property Price Index","2016 March","South-West - houses","%","12.9"
"Percentage Change over 12 months for Residential Property Price Index","2016 April","National - all residential properties","%","7.2"
"Percentage Change over 12 months for Residential Property Price Index","2016 April","National - houses","%","6.6"
"Percentage Change over 12 months for Residential Property Price Index","2016 April","National - apartments","%","7.1"
"Percentage Change over 12 months for Residential Property Price Index","2016 April","Dublin - all residential properties","%","5.4"
"Percentage Change over 12 months for Residential Property Price Index","2016 April","Dublin - houses","%","4.3"
"Percentage Change over 12 months for Residential Property Price Index","2016 April","Dublin - apartments","%","8.9"
"Percentage Change over 12 months for Residential Property Price Index","2016 April","Dublin City - houses","%","2"
"Percentage Change over 12 months for Residential Property Price Index","2016 April","Dun Laoghaire-Rathdown - houses","%","4.2"
"Percentage Change over 12 months for Residential Property Price Index","2016 April","Fingal - houses","%","6"
"Percentage Change over 12 months for Residential Property Price Index","2016 April","South Dublin - houses","%","-2.4"
"Percentage Change over 12 months for Residential Property Price Index","2016 April","National excluding Dublin - all residential properties","%","9"
"Percentage Change over 12 months for Residential Property Price Index","2016 April","National excluding Dublin - houses","%","8.8"
"Percentage Change over 12 months for Residential Property Price Index","2016 April","National excluding Dublin - apartments","%","12.1"
"Percentage Change over 12 months for Residential Property Price Index","2016 April","Border - houses","%","11.3"
"Percentage Change over 12 months for Residential Property Price Index","2016 April","Midland - houses","%","16.6"
"Percentage Change over 12 months for Residential Property Price Index","2016 April","West - houses","%","10.4"
"Percentage Change over 12 months for Residential Property Price Index","2016 April","Mid-East - houses","%","5.9"
"Percentage Change over 12 months for Residential Property Price Index","2016 April","Mid-West - houses","%","8.5"
"Percentage Change over 12 months for Residential Property Price Index","2016 April","South-East - houses","%","8.9"
"Percentage Change over 12 months for Residential Property Price Index","2016 April","South-West - houses","%","9.9"
"Percentage Change over 12 months for Residential Property Price Index","2016 May","National - all residential properties","%","6.1"
"Percentage Change over 12 months for Residential Property Price Index","2016 May","National - houses","%","5.5"
"Percentage Change over 12 months for Residential Property Price Index","2016 May","National - apartments","%","7.7"
"Percentage Change over 12 months for Residential Property Price Index","2016 May","Dublin - all residential properties","%","4.4"
"Percentage Change over 12 months for Residential Property Price Index","2016 May","Dublin - houses","%","3.4"
"Percentage Change over 12 months for Residential Property Price Index","2016 May","Dublin - apartments","%","8.6"
"Percentage Change over 12 months for Residential Property Price Index","2016 May","Dublin City - houses","%","2.2"
"Percentage Change over 12 months for Residential Property Price Index","2016 May","Dun Laoghaire-Rathdown - houses","%","4.5"
"Percentage Change over 12 months for Residential Property Price Index","2016 May","Fingal - houses","%","4.1"
"Percentage Change over 12 months for Residential Property Price Index","2016 May","South Dublin - houses","%","-1.7"
"Percentage Change over 12 months for Residential Property Price Index","2016 May","National excluding Dublin - all residential properties","%","8"
"Percentage Change over 12 months for Residential Property Price Index","2016 May","National excluding Dublin - houses","%","7.5"
"Percentage Change over 12 months for Residential Property Price Index","2016 May","National excluding Dublin - apartments","%","13.3"
"Percentage Change over 12 months for Residential Property Price Index","2016 May","Border - houses","%","11.8"
"Percentage Change over 12 months for Residential Property Price Index","2016 May","Midland - houses","%","17.2"
"Percentage Change over 12 months for Residential Property Price Index","2016 May","West - houses","%","9.6"
"Percentage Change over 12 months for Residential Property Price Index","2016 May","Mid-East - houses","%","4.5"
"Percentage Change over 12 months for Residential Property Price Index","2016 May","Mid-West - houses","%","5.3"
"Percentage Change over 12 months for Residential Property Price Index","2016 May","South-East - houses","%","6.7"
"Percentage Change over 12 months for Residential Property Price Index","2016 May","South-West - houses","%","9.8"
"Percentage Change over 12 months for Residential Property Price Index","2016 June","National - all residential properties","%","5.6"
"Percentage Change over 12 months for Residential Property Price Index","2016 June","National - houses","%","5"
"Percentage Change over 12 months for Residential Property Price Index","2016 June","National - apartments","%","8.2"
"Percentage Change over 12 months for Residential Property Price Index","2016 June","Dublin - all residential properties","%","3.2"
"Percentage Change over 12 months for Residential Property Price Index","2016 June","Dublin - houses","%","2.4"
"Percentage Change over 12 months for Residential Property Price Index","2016 June","Dublin - apartments","%","7.2"
"Percentage Change over 12 months for Residential Property Price Index","2016 June","Dublin City - houses","%","1.8"
"Percentage Change over 12 months for Residential Property Price Index","2016 June","Dun Laoghaire-Rathdown - houses","%","4"
"Percentage Change over 12 months for Residential Property Price Index","2016 June","Fingal - houses","%","3.3"
"Percentage Change over 12 months for Residential Property Price Index","2016 June","South Dublin - houses","%","-0.4"
"Percentage Change over 12 months for Residential Property Price Index","2016 June","National excluding Dublin - all residential properties","%","8"
"Percentage Change over 12 months for Residential Property Price Index","2016 June","National excluding Dublin - houses","%","7.3"
"Percentage Change over 12 months for Residential Property Price Index","2016 June","National excluding Dublin - apartments","%","16.4"
"Percentage Change over 12 months for Residential Property Price Index","2016 June","Border - houses","%","10.3"
"Percentage Change over 12 months for Residential Property Price Index","2016 June","Midland - houses","%","16.8"
"Percentage Change over 12 months for Residential Property Price Index","2016 June","West - houses","%","9.6"
"Percentage Change over 12 months for Residential Property Price Index","2016 June","Mid-East - houses","%","3.9"
"Percentage Change over 12 months for Residential Property Price Index","2016 June","Mid-West - houses","%","5.9"
"Percentage Change over 12 months for Residential Property Price Index","2016 June","South-East - houses","%","5.1"
"Percentage Change over 12 months for Residential Property Price Index","2016 June","South-West - houses","%","9.6"
"Percentage Change over 12 months for Residential Property Price Index","2016 July","National - all residential properties","%","7"
"Percentage Change over 12 months for Residential Property Price Index","2016 July","National - houses","%","7"
"Percentage Change over 12 months for Residential Property Price Index","2016 July","National - apartments","%","7.7"
"Percentage Change over 12 months for Residential Property Price Index","2016 July","Dublin - all residential properties","%","3.9"
"Percentage Change over 12 months for Residential Property Price Index","2016 July","Dublin - houses","%","4"
"Percentage Change over 12 months for Residential Property Price Index","2016 July","Dublin - apartments","%","4.9"
"Percentage Change over 12 months for Residential Property Price Index","2016 July","Dublin City - houses","%","3.5"
"Percentage Change over 12 months for Residential Property Price Index","2016 July","Dun Laoghaire-Rathdown - houses","%","5"
"Percentage Change over 12 months for Residential Property Price Index","2016 July","Fingal - houses","%","3"
"Percentage Change over 12 months for Residential Property Price Index","2016 July","South Dublin - houses","%","1.5"
"Percentage Change over 12 months for Residential Property Price Index","2016 July","National excluding Dublin - all residential properties","%","10.2"
"Percentage Change over 12 months for Residential Property Price Index","2016 July","National excluding Dublin - houses","%","9.7"
"Percentage Change over 12 months for Residential Property Price Index","2016 July","National excluding Dublin - apartments","%","17"
"Percentage Change over 12 months for Residential Property Price Index","2016 July","Border - houses","%","9"
"Percentage Change over 12 months for Residential Property Price Index","2016 July","Midland - houses","%","17.6"
"Percentage Change over 12 months for Residential Property Price Index","2016 July","West - houses","%","11.4"
"Percentage Change over 12 months for Residential Property Price Index","2016 July","Mid-East - houses","%","4.2"
"Percentage Change over 12 months for Residential Property Price Index","2016 July","Mid-West - houses","%","7.2"
"Percentage Change over 12 months for Residential Property Price Index","2016 July","South-East - houses","%","6.6"
"Percentage Change over 12 months for Residential Property Price Index","2016 July","South-West - houses","%","11.7"
"Percentage Change over 12 months for Residential Property Price Index","2016 August","National - all residential properties","%","7.3"
"Percentage Change over 12 months for Residential Property Price Index","2016 August","National - houses","%","7.3"
"Percentage Change over 12 months for Residential Property Price Index","2016 August","National - apartments","%","7.8"
"Percentage Change over 12 months for Residential Property Price Index","2016 August","Dublin - all residential properties","%","4.5"
"Percentage Change over 12 months for Residential Property Price Index","2016 August","Dublin - houses","%","4.5"
"Percentage Change over 12 months for Residential Property Price Index","2016 August","Dublin - apartments","%","5.3"
"Percentage Change over 12 months for Residential Property Price Index","2016 August","Dublin City - houses","%","4.5"
"Percentage Change over 12 months for Residential Property Price Index","2016 August","Dun Laoghaire-Rathdown - houses","%","6.5"
"Percentage Change over 12 months for Residential Property Price Index","2016 August","Fingal - houses","%","1.6"
"Percentage Change over 12 months for Residential Property Price Index","2016 August","South Dublin - houses","%","2.1"
"Percentage Change over 12 months for Residential Property Price Index","2016 August","National excluding Dublin - all residential properties","%","10"
"Percentage Change over 12 months for Residential Property Price Index","2016 August","National excluding Dublin - houses","%","9.8"
"Percentage Change over 12 months for Residential Property Price Index","2016 August","National excluding Dublin - apartments","%","13.7"
"Percentage Change over 12 months for Residential Property Price Index","2016 August","Border - houses","%","6.5"
"Percentage Change over 12 months for Residential Property Price Index","2016 August","Midland - houses","%","14.1"
"Percentage Change over 12 months for Residential Property Price Index","2016 August","West - houses","%","12.7"
"Percentage Change over 12 months for Residential Property Price Index","2016 August","Mid-East - houses","%","4.6"
"Percentage Change over 12 months for Residential Property Price Index","2016 August","Mid-West - houses","%","9.3"
"Percentage Change over 12 months for Residential Property Price Index","2016 August","South-East - houses","%","8"
"Percentage Change over 12 months for Residential Property Price Index","2016 August","South-West - houses","%","11"
"Percentage Change over 12 months for Residential Property Price Index","2016 September","National - all residential properties","%","8.1"
"Percentage Change over 12 months for Residential Property Price Index","2016 September","National - houses","%","8.3"
"Percentage Change over 12 months for Residential Property Price Index","2016 September","National - apartments","%","8"
"Percentage Change over 12 months for Residential Property Price Index","2016 September","Dublin - all residential properties","%","6.2"
"Percentage Change over 12 months for Residential Property Price Index","2016 September","Dublin - houses","%","6.2"
"Percentage Change over 12 months for Residential Property Price Index","2016 September","Dublin - apartments","%","6.1"
"Percentage Change over 12 months for Residential Property Price Index","2016 September","Dublin City - houses","%","6.8"
"Percentage Change over 12 months for Residential Property Price Index","2016 September","Dun Laoghaire-Rathdown - houses","%","7.9"
"Percentage Change over 12 months for Residential Property Price Index","2016 September","Fingal - houses","%","1.2"
"Percentage Change over 12 months for Residential Property Price Index","2016 September","South Dublin - houses","%","3.1"
"Percentage Change over 12 months for Residential Property Price Index","2016 September","National excluding Dublin - all residential properties","%","10.1"
"Percentage Change over 12 months for Residential Property Price Index","2016 September","National excluding Dublin - houses","%","10.1"
"Percentage Change over 12 months for Residential Property Price Index","2016 September","National excluding Dublin - apartments","%","11.5"
"Percentage Change over 12 months for Residential Property Price Index","2016 September","Border - houses","%","5.9"
"Percentage Change over 12 months for Residential Property Price Index","2016 September","Midland - houses","%","14.2"
"Percentage Change over 12 months for Residential Property Price Index","2016 September","West - houses","%","13.8"
"Percentage Change over 12 months for Residential Property Price Index","2016 September","Mid-East - houses","%","5.1"
"Percentage Change over 12 months for Residential Property Price Index","2016 September","Mid-West - houses","%","9.3"
"Percentage Change over 12 months for Residential Property Price Index","2016 September","South-East - houses","%","8.9"
"Percentage Change over 12 months for Residential Property Price Index","2016 September","South-West - houses","%","11.1"
"Percentage Change over 12 months for Residential Property Price Index","2016 October","National - all residential properties","%","7.4"
"Percentage Change over 12 months for Residential Property Price Index","2016 October","National - houses","%","7.7"
"Percentage Change over 12 months for Residential Property Price Index","2016 October","National - apartments","%","6.9"
"Percentage Change over 12 months for Residential Property Price Index","2016 October","Dublin - all residential properties","%","5.1"
"Percentage Change over 12 months for Residential Property Price Index","2016 October","Dublin - houses","%","5.4"
"Percentage Change over 12 months for Residential Property Price Index","2016 October","Dublin - apartments","%","4"
"Percentage Change over 12 months for Residential Property Price Index","2016 October","Dublin City - houses","%","6"
"Percentage Change over 12 months for Residential Property Price Index","2016 October","Dun Laoghaire-Rathdown - houses","%","8.9"
"Percentage Change over 12 months for Residential Property Price Index","2016 October","Fingal - houses","%","0"
"Percentage Change over 12 months for Residential Property Price Index","2016 October","South Dublin - houses","%","4.4"
"Percentage Change over 12 months for Residential Property Price Index","2016 October","National excluding Dublin - all residential properties","%","9.8"
"Percentage Change over 12 months for Residential Property Price Index","2016 October","National excluding Dublin - houses","%","9.7"
"Percentage Change over 12 months for Residential Property Price Index","2016 October","National excluding Dublin - apartments","%","11.3"
"Percentage Change over 12 months for Residential Property Price Index","2016 October","Border - houses","%","5.7"
"Percentage Change over 12 months for Residential Property Price Index","2016 October","Midland - houses","%","14.5"
"Percentage Change over 12 months for Residential Property Price Index","2016 October","West - houses","%","13.4"
"Percentage Change over 12 months for Residential Property Price Index","2016 October","Mid-East - houses","%","5.7"
"Percentage Change over 12 months for Residential Property Price Index","2016 October","Mid-West - houses","%","9.7"
"Percentage Change over 12 months for Residential Property Price Index","2016 October","South-East - houses","%","10.4"
"Percentage Change over 12 months for Residential Property Price Index","2016 October","South-West - houses","%","9.6"
"Percentage Change over 12 months for Residential Property Price Index","2016 November","National - all residential properties","%","9.2"
"Percentage Change over 12 months for Residential Property Price Index","2016 November","National - houses","%","8.9"
"Percentage Change over 12 months for Residential Property Price Index","2016 November","National - apartments","%","9.9"
"Percentage Change over 12 months for Residential Property Price Index","2016 November","Dublin - all residential properties","%","6.8"
"Percentage Change over 12 months for Residential Property Price Index","2016 November","Dublin - houses","%","6"
"Percentage Change over 12 months for Residential Property Price Index","2016 November","Dublin - apartments","%","9"
"Percentage Change over 12 months for Residential Property Price Index","2016 November","Dublin City - houses","%","6.4"
"Percentage Change over 12 months for Residential Property Price Index","2016 November","Dun Laoghaire-Rathdown - houses","%","8.4"
"Percentage Change over 12 months for Residential Property Price Index","2016 November","Fingal - houses","%","0.8"
"Percentage Change over 12 months for Residential Property Price Index","2016 November","South Dublin - houses","%","7.4"
"Percentage Change over 12 months for Residential Property Price Index","2016 November","National excluding Dublin - all residential properties","%","11.7"
"Percentage Change over 12 months for Residential Property Price Index","2016 November","National excluding Dublin - houses","%","11.5"
"Percentage Change over 12 months for Residential Property Price Index","2016 November","National excluding Dublin - apartments","%","12.9"
"Percentage Change over 12 months for Residential Property Price Index","2016 November","Border - houses","%","7.4"
"Percentage Change over 12 months for Residential Property Price Index","2016 November","Midland - houses","%","14.5"
"Percentage Change over 12 months for Residential Property Price Index","2016 November","West - houses","%","14.2"
"Percentage Change over 12 months for Residential Property Price Index","2016 November","Mid-East - houses","%","7.5"
"Percentage Change over 12 months for Residential Property Price Index","2016 November","Mid-West - houses","%","11.5"
"Percentage Change over 12 months for Residential Property Price Index","2016 November","South-East - houses","%","11.2"
"Percentage Change over 12 months for Residential Property Price Index","2016 November","South-West - houses","%","10.9"
"Percentage Change over 12 months for Residential Property Price Index","2016 December","National - all residential properties","%","9"
"Percentage Change over 12 months for Residential Property Price Index","2016 December","National - houses","%","8.7"
"Percentage Change over 12 months for Residential Property Price Index","2016 December","National - apartments","%","9.9"
"Percentage Change over 12 months for Residential Property Price Index","2016 December","Dublin - all residential properties","%","6.7"
"Percentage Change over 12 months for Residential Property Price Index","2016 December","Dublin - houses","%","6.1"
"Percentage Change over 12 months for Residential Property Price Index","2016 December","Dublin - apartments","%","8.6"
"Percentage Change over 12 months for Residential Property Price Index","2016 December","Dublin City - houses","%","6.3"
"Percentage Change over 12 months for Residential Property Price Index","2016 December","Dun Laoghaire-Rathdown - houses","%","8.8"
"Percentage Change over 12 months for Residential Property Price Index","2016 December","Fingal - houses","%","1.4"
"Percentage Change over 12 months for Residential Property Price Index","2016 December","South Dublin - houses","%","8.7"
"Percentage Change over 12 months for Residential Property Price Index","2016 December","National excluding Dublin - all residential properties","%","11.2"
"Percentage Change over 12 months for Residential Property Price Index","2016 December","National excluding Dublin - houses","%","11"
"Percentage Change over 12 months for Residential Property Price Index","2016 December","National excluding Dublin - apartments","%","13.7"
"Percentage Change over 12 months for Residential Property Price Index","2016 December","Border - houses","%","6.5"
"Percentage Change over 12 months for Residential Property Price Index","2016 December","Midland - houses","%","12.3"
"Percentage Change over 12 months for Residential Property Price Index","2016 December","West - houses","%","14.6"
